status,issue,title,validator comment 1,validator comment 2,validator comment 3,root cause 1,root cause 2,root cause 3,merged root cause,primary finding,proposed root cause group,
Satisfactory,validation-507,"Malicious user can create positions that can never be liquidated, breaking protocol invariant",Unbounded loop DoS in removeItem,OOG that's beyond input control,O(N) remove,"https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/gamma/GammaTradeMarket.sol#L402-L406,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/gamma/ArrayLib.sol#L9C5-L31C6",https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/gamma/GammaTradeMarket.sol#L143-L144,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/gamma/ArrayLib.sol#L20-L31,"https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/gamma/ArrayLib.sol#L9-L31,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/gamma/GammaTradeMarket.sol#L402-L406,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/gamma/GammaTradeMarket.sol#L143-L144",validation-472,"DUPE-ArrayLib-001,DUPE-GammaTradeMarket-002,DUPE-GammaTradeMarket-003",DUPE-GammaTradeMarket-003
Satisfactory,validation-257,`Filler` is incorrectly tasked.,Incorrect access control,Filler is trusted,filler or owner,https://github.com/code-423n4/2024-05-predy/blob/main/src/base/BaseMarketUpgradable.sol#L136C5-L140C10,https://github.com/code-423n4/2024-05-predy/blob/main/src/base/BaseMarketUpgradable.sol#L140-L142,https://github.com/code-423n4/2024-05-predy/blob/main/src/base/BaseMarketUpgradable.sol#L140-L142,https://github.com/code-423n4/2024-05-predy/blob/main/src/base/BaseMarketUpgradable.sol#L136C5-L140C10,validation-305,DUPE-BaseMarketUpgradable-001,
Satisfactory,validation-543,Filler can update `settlementWhitelist` through basemarketupgradeable.sol.,Incorrect access control,Filler is trusted,filler or owner,https://github.com/code-423n4/2024-05-predy/blob/main/src/base/BaseMarketUpgradable.sol#L136C5-L140C10,https://github.com/code-423n4/2024-05-predy/blob/main/src/base/BaseMarketUpgradable.sol#L140,https://github.com/code-423n4/2024-05-predy/blob/main/src/base/BaseMarketUpgradable.sol#L140,https://github.com/code-423n4/2024-05-predy/blob/main/src/base/BaseMarketUpgradable.sol#L136C5-L140C10,validation-305,DUPE-BaseMarketUpgradable-001,
Satisfactory,validation-135,`validateStopPrice()` is potentially flawed by wrong `value` parameter,Incorrect passed argument,Insufficient proof (devoid of concrete example),decay2,"https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketLib.sol#L152,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/orders/DecayLib.sol#L13",https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketLib.sol#L147-L153,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/orders/DecayLib.sol#L16-L37,"https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketLib.sol#L147-L153,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/orders/DecayLib.sol#L13,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/orders/DecayLib.sol#L16-L37",validation-135,"DUPE-DecayLib-001,DUPE-DecayLib-002,DUPE-PerpMarketLib-003",DUPE-PerpMarketLib-003
Satisfactory,validation-210,Incorrect  data is saved as `userPosition`  during trade execution,Incorrect passed argument vaultId instead of positionId,Insufficient proof to elicit the flaws,vaultId or positionId,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/gamma/GammaTradeMarket.sol#L186,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/gamma/GammaTradeMarket.sol#L185-L187,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/gamma/GammaTradeMarket.sol#L185-L187,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/gamma/GammaTradeMarket.sol#L185-L187,validation-210,DUPE-GammaTradeMarket-001,
Satisfactory,validation-287,Liquidation may revert when the account is blacklisted,Liquidation DoS due to blacklisting,Blacklisting makes liquidation insolvent,erc20 pause/blacklist,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/logic/LiquidationLogic.sol#L99,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/logic/LiquidationLogic.sol#L99,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/logic/LiquidationLogic.sol#L93-L100,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/logic/LiquidationLogic.sol#L93-L100,validation-625,DUPE-LiquidationLogic-001,
Satisfactory,validation-80,Unable to perform liquidation if vault `recipient` is  blacklisted by `quotePool.token`,Liquidation DoS due to blacklisting,Blacklisting makes liquidation insolvent,erc20 pause/blacklist,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/logic/LiquidationLogic.sol#L99,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/logic/LiquidationLogic.sol#L93-L100,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/logic/LiquidationLogic.sol#L93-L100,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/logic/LiquidationLogic.sol#L93-L100,validation-625,DUPE-LiquidationLogic-001,
Satisfactory,validation-218,Inflexible Twap  `_ORACLE_PERIOD` leads to inadequate pricing of assets,Lack of slippage protection. Seems QA as it is a feature request,Should call PythPriceFeed:: updatePriceFeeds function before reading the price feed,"twap window hardecode 30 min, should be adjustable",https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/UniHelper.sol#L11,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/UniHelper.sol#L20-L22,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/logic/LiquidationLogic.sol#L129-L149,"https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/UniHelper.sol#L20-L22,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/UniHelper.sol#L11,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/logic/LiquidationLogic.sol#L129-L149",findings-31,"DUPE-LiquidationLogic-002,DUPE-UniHelper-003,DUPE-UniHelper-004",DUPE-UniHelper-004
Satisfactory,validation-345,UniV3 Oracle Manipulation on L2s,Uniswap is an unsafe oracle in L2s,Low QA on L2 Sequencer Uptime Feeds frequently reported by the bots,"twap window hardecode 30 min, should be adjustable",https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/UniHelper.sol#L35,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/UniHelper.sol#L35,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/logic/LiquidationLogic.sol#L129-L149,"https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/logic/LiquidationLogic.sol#L129-L149,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/UniHelper.sol#L35",validation-345,"DUPE-LiquidationLogic-002,DUPE-UniHelper-001",
Satisfactory,validation-8,Use of `slot0()` to fetch prices can lead to price manipulation,slot0 is easy to manipulate,Readme: Non-atomic sandwich price manipulation,slot0,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/UniHelper.sol#L13-L15,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/Perp.sol#L206,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/UniHelper.sol#L13,"https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/UniHelper.sol#L13-L15,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/Perp.sol#L206",validation-4,"DUPE-Perp-001,DUPE-UniHelper-002",
Satisfactory,validation-206,Missing slippage control when adding/removing liquidity,,Non-frontrunning slippage,,"https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L222,https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L237",https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/Perp.sol#L268-L270,,"https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L222,https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L237,https://github.com/code-423n4/2024-05-predy/blob/main/src/libraries/Perp.sol#L268-L270",findings-25,"DUPE-Perp-002,DUPE-PredyPool-004,DUPE-PredyPool-005",DUPE-PredyPool-005
Satisfactory,validation-530,Improper Validation in PerpMarketV1: Reverting Mechanism Fails to revert an Invalid Trades,Invalid. Logic clause is correct,Conditional leaks,"&& ||",,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketV1.sol#L213-L215,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketLib.sol#L100-L101,"https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketLib.sol#L100-L101,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketV1.sol#L213-L215",validation-280,"DUPE-PerpMarketLib-001,DUPE-PerpMarketV1-001",
Satisfactory,validation-223,Incorrect Limit Stop Order Validation.,Incorrect logic clause when validating orders,Conditional leaks,"&& ||",https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketLib.sol#L100C15-L101C104,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketLib.sol#L97-L104,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketLib.sol#L100-L101,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketLib.sol#L100C15-L101C104,validation-280,DUPE-PerpMarketLib-001,
Satisfactory,validation-509,`PerpMarketLib::validateStopPrice` calculates the ratio of `oraclePrice` and `stopPrice` incorrectly,Ratio of oracle price and stop price incorrectly computed,Insufficient proof (devoid of concrete example),tolerance price1 == price2,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketLib.sol#L179C8-L181C10,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketV1.sol#L213-L215,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketLib.sol#L178-L186,"https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketLib.sol#L178-L186,https://github.com/code-423n4/2024-05-predy/blob/main/src/markets/perp/PerpMarketV1.sol#L213-L215",validation-524,"DUPE-PerpMarketLib-002,DUPE-PerpMarketV1-001",
Satisfactory,validation-6,No Protection of Uninitialized Implementation Contracts From Attacker,"Implementation contracts can be initialized. Seems QA, this can be solved in deployment.",L-6 from Analyzer,uninitialized Impl,https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L68,https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L68,https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L68-L75,https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L68-L75,validation-249,DUPE-PredyPool-001,
Satisfactory,validation-406,`updateFeeRatio()` does not collect previous fees before setting a new `feeRatio`,Interest rate is not updated before changing parameters,Missing accrued fee calculation prior to fee update,update fee first,https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L133-L139,https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L147-L149,https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L147-L149,"https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L147-L149,https://github.com/code-423n4/2024-05-predy/blob/main/src/PredyPool.sol#L133-L139",findings-12,"DUPE-PredyPool-002,DUPE-PredyPool-003",
